unhealthy_ratio,good_day_ratio,pollution_severity_index,aqi_spread,pm_pollution_ratio
0.0,0.9476190476190476,11,58,0.0
0.0,0.9478672985781991,11,26,0.0
0.0,0.9612068965517241,9,47,0.0
0.0,0.8426966292134831,14,42,0.0
0.0,0.8913043478260869,10,26,0.0
0.006756756756756757,0.6418918918918919,56,217,1.0
0.0,0.8557692307692307,15,32,0.0
0.0,0.821917808219178,26,36,0.4657534246575342
0.0,0.8175675675675675,27,58,0.5202702702702703
0.0,0.8013698630136986,30,86,0.410958904109589
0.0,0.8461538461538461,14,31,0.0
0.006802721088435374,0.7142857142857143,45,116,0.5782312925170068
0.006622516556291391,0.6026490066225165,63,250,0.8278145695364238
0.006756756756756757,0.7837837837837838,35,120,0.49324324324324326
0.0,0.7905405405405406,31,37,0.6283783783783784
0.0,0.8791208791208791,11,48,0.0
0.0,0.8986486486486487,15,60,0.033783783783783786
0.0,0.9494949494949495,5,21,0.0
0.0,0.8152173913043478,17,41,0.0
0.0,0.8851351351351351,17,54,0.08108108108108109
0.0,0.9393939393939394,6,29,0.0
0.013245033112582781,0.4768211920529801,87,687,0.7549668874172185
0.0,1.0,0,22,1.0
0.0,1.0,0,15,1.0
0.0,1.0,0,36,1.0
0.0,0.9116022099447514,16,56,0.15469613259668508
0.0055248618784530384,0.9502762430939227,11,148,1.0
0.0,0.9222222222222223,14,43,0.06666666666666667
0.0,0.820627802690583,40,40,0.29596412556053814
0.0,0.9911504424778761,2,48,0.7964601769911505
0.0,0.9640718562874252,7,95,1.0
0.006711409395973154,0.9463087248322147,10,144,1.0
0.0,1.0,0,5,1.0
0.0,0.6538461538461539,63,48,0.43956043956043955
0.0,0.5454545454545454,80,47,1.0
0.0,0.8342541436464088,30,44,0.430939226519337
0.005847953216374269,0.9415204678362573,13,150,1.0
0.0,1.0,0,15,1.0
0.0,0.8160919540229885,32,61,1.0
0.0055248618784530384,0.8674033149171271,28,126,0.23204419889502761
0.0,1.0,0,29,1.0
0.0,1.0,0,17,1.0
0.0,1.0,0,16,1.0
0.0,1.0,0,18,1.0
0.0,0.8287292817679558,31,50,1.0
0.0,0.976878612716763,4,75,1.0
0.0,0.8674033149171271,24,46,0.30386740331491713
0.0,0.9652777777777778,10,44,1.0
0.0,0.6678832116788321,93,93,0.48175182481751827
0.0,0.7397260273972602,77,95,1.0
0.0,0.8021201413427562,58,81,0.568904593639576
0.0,0.8931623931623932,29,76,0.0
0.0,0.7766990291262136,23,51,0.7572815533980582
0.0,0.7706766917293233,62,101,1.0
0.0,0.9518072289156626,12,40,1.0
0.0,0.9473684210526315,1,44,1.0
0.0,0.842741935483871,40,103,1.0
0.0,0.7932960893854749,37,35,0.2849162011173184
0.0,0.8103448275862069,33,34,0.0
0.0,0.25547445255474455,230,74,0.25547445255474455
0.0,0.9090909090909091,16,35,1.0
0.006578947368421052,0.9078947368421053,17,141,1.0
0.0,0.8388888888888889,29,40,0.0
